census_year,block_id,property_id,base_property_id,building_address,CLUE_small_area,parking_type,parking_spaces,longitude,latitude
2012,115,110747,110747,499-511 Swanston Street MELBOURNE 3000,Melbourne (CBD),Private,156,144.96192,-37.80693
2012,115,604779,587480,8 Franklin Street MELBOURNE 3000,Melbourne (CBD),Private,546,144.96209,-37.80729
2012,131,103977,111287,633-669 Flinders Street DOCKLANDS 3005,Docklands,Private,354,144.95378,-37.82258
2012,205,104469,104469,114-152 Grattan Street CARLTON 3053,Carlton,Private,460,144.96489,-37.79994
2012,217,106193,106193,368-386 Lygon Street CARLTON 3053,Carlton,Commercial,154,144.96815,-37.79804
2012,241,573377,573377,220 Berkeley Street CARLTON 3053,Carlton,Commercial,1136,144.9607,-37.80025
2012,250,623345,108266,11 Nicholson Street CARLTON 3053,Carlton,Commercial,848,144.97163,-37.80397
2012,265,109845,109845,110-120 Victoria Street CARLTON 3053,Carlton,Commercial,465,144.96393,-37.80606
2012,274,107697,107696,Royal Parade CARLTON NORTH 3054,Carlton,Private,140,144.96153,-37.78498
2012,319,106336,106336,98-166 Macaulay Road NORTH MELBOURNE 3051,North Melbourne,Private,141,144.94203,-37.79716
2012,375,101095,101095,14-20 Blackwood Street NORTH MELBOURNE 3051,North Melbourne,Commercial,356,144.95516,-37.80175
2012,440,102960,102960,104-124 Dudley Street WEST MELBOURNE 3003,West Melbourne (Residential),Residential,154,144.95127,-37.80925
2012,502,105221,105221,133-165 Kensington Road WEST MELBOURNE 3003,West Melbourne (Industrial),Private,160,144.9192,-37.79962
2012,570,108810,108810,428-550 Epsom Road FLEMINGTON 3031,Kensington,Private,6000,144.9127,-37.78907
2012,571,103389,103389,276-318 Epsom Road FLEMINGTON 3032,Kensington,Private,2000,144.91158,-37.78218
2012,651,557129,101779,10 St Andrews Place EAST MELBOURNE 3002,East Melbourne,Private,146,144.9774,-37.81152
2012,659,614000,100847,Batman Avenue MELBOURNE 3004,Melbourne (Remainder),Private,200,144.97904,-37.82134
2012,720,108626,108626,409-413 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,126,144.9769,-37.83736
2012,729,110346,110346,73-79 Whiteman Street SOUTHBANK 3006,Southbank,Residential,226,144.95635,-37.82664
2012,729,110486,110486,61-67 Whiteman Street SOUTHBANK 3006,Southbank,Residential,345,144.95685,-37.82606
2012,736,110408,110408,93-119 Kavanagh Street SOUTHBANK 3006,Southbank,Commercial,700,144.96358,-37.8257
2012,738,110620,110620,102-118 Sturt Street SOUTHBANK 3006,Southbank,Commercial,200,144.96644,-37.82418
2012,748,108658,108658,312-318 St Kilda Road SOUTHBANK 3006,Southbank,Commercial,240,144.97069,-37.82909
2012,753,110323,110380,1 Southgate Avenue SOUTHBANK 3006,Southbank,Private,100,144.9663,-37.82072
2012,753,110379,110380,40 City Road SOUTHBANK 3006,Southbank,Private,257,144.9663,-37.82072
2012,753,110608,110608,28-32 Southgate Avenue SOUTHBANK 3006,Southbank,Residential,108,144.96747,-37.82067
2012,759,108635,108635,459-465 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Residential,108,144.97815,-37.8408
2012,760,108638,108638,477-479 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,204,144.97856,-37.84188
2012,760,108644,108644,509-515 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,342,144.97936,-37.8441
2012,773,560261,560261,50-56 Lorimer Street DOCKLANDS 3008,Docklands,Residential,250,144.94748,-37.82484
2012,774,110860,110860,351-387 Ingles Street PORT MELBOURNE 3207,Port Melbourne,Private,172,144.93339,-37.82323
2012,774,611377,611377,161-189 Turner Street PORT MELBOURNE 3207,Port Melbourne,Private,109,144.93204,-37.82353
2012,775,110525,110525,850-868 Lorimer Street PORT MELBOURNE 3207,Port Melbourne,Private,251,144.93468,-37.82304
2012,778,564808,564808,329-349 Ingles Street PORT MELBOURNE 3207,Port Melbourne,Private,226,144.9347,-37.82496
2012,779,110587,110587,2-46 Douglas Street PORT MELBOURNE 3207,Port Melbourne,Private,311,144.9257,-37.82602
2012,781,110596,110596,272-310 Salmon Street PORT MELBOURNE 3207,Port Melbourne,Private,118,144.92172,-37.82182
2012,782,110519,110519,768-798 Lorimer Street PORT MELBOURNE 3207,Port Melbourne,Private,220,144.92887,-37.82258
2012,784,600461,110597,12 Central Boulevard FISHERMANS BEND 3207,Port Melbourne,Private,107,144.91884,-37.82228
2012,786,110575,110575,1-31 Cook Street FISHERMANS BEND 3207,Port Melbourne,Private,350,144.91338,-37.8309
2012,789,110577,110577,127-169 Todd Road FISHERMANS BEND 3207,Port Melbourne,Private,260,144.91016,-37.8282
2012,790,597228,597228,11-25 Wirraway Drive FISHERMANS BEND 3207,Port Melbourne,Private,184,144.90991,-37.82554
2012,801,110325,110325,2 Riverside Quay SOUTHBANK 3006,Southbank,Commercial,560,144.96328,-37.82132
2012,802,575820,575820,1-9 Freshwater Place SOUTHBANK 3006,Southbank,Commercial,270,144.96218,-37.82172
2012,802,613006,613006,28 Freshwater Place SOUTHBANK 3006,Southbank,Commercial,247,144.96229,-37.82267
2012,804,623557,110484,2 Clarendon Street SOUTH WHARF 3006,Southbank,Commercial,1696,144.95232,-37.82543
2012,804,630299,110484,20 Convention Centre Place SOUTH WHARF 3006,Southbank,Private,296,144.95232,-37.82543
2012,810,576747,576747,94-108 Kavanagh Street SOUTHBANK 3006,Southbank,Residential,267,144.96254,-37.82513
2012,811,111372,111372,88-98 Southbank Boulevard SOUTHBANK 3006,Southbank,Residential,190,144.96445,-37.82347
2012,812,110415,110415,12-16 Kavanagh Street SOUTHBANK 3006,Southbank,Residential,170,144.96626,-37.82261
2012,813,110411,110411,2-6 Kavanagh Street SOUTHBANK 3006,Southbank,Commercial,436,144.96736,-37.82197
2012,860,102508,102508,191-201 Domain Road SOUTH YARRA 3141,South Yarra,Residential,107,144.98292,-37.83447
2012,863,108616,108616,321-369 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,200,144.97655,-37.83405
2012,920,104437,104437,300-328 Grattan Street PARKVILLE 3050,Parkville,Commercial,909,144.95634,-37.79863
2012,929,107424,107424,866-934 Park Street PARKVILLE 3052,Parkville,Private,133,144.94505,-37.77749
2012,929,110950,110950,34-56 Poplar Road PARKVILLE 3052,Parkville,Private,298,144.9479,-37.77803
2012,931,103908,103908,48-50 Flemington Road PARKVILLE 3052,Parkville,Commercial,2000,144.95021,-37.79355
2012,931,107427,107427,10 Brens Drive PARKVILLE 3052,Parkville,Private,341,144.94768,-37.78533
2012,1006,102993,102993,71-385 Dynon Road WEST MELBOURNE 3003,West Melbourne (Industrial),Private,132,144.92405,-37.8035
2012,1007,107575,107575,2 Phillipps Road WEST MELBOURNE 3003,West Melbourne (Industrial),Private,197,144.91932,-37.81381
2012,1101,110843,110843,163-261 Spencer Street DOCKLANDS 3008,Docklands,Commercial,583,144.95056,-37.81451
2012,1102,609314,609314,194-206 Harbour Esplanade DOCKLANDS 3008,Docklands,Private,125,144.94494,-37.81399
2012,1102,611576,611576,1010 La Trobe Street DOCKLANDS 3008,Docklands,Private,103,144.94538,-37.81455
2012,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Commercial,2500,144.94756,-37.81674
2012,1103,598612,573403,100-108 Harbour Esplanade DOCKLANDS 3008,Docklands,Residential,448,144.94735,-37.81813
2012,1104,598658,576023,2-24 Waterview Walk DOCKLANDS 3008,Docklands,Commercial,113,144.94799,-37.81938
2012,1104,598658,576023,2-24 Waterview Walk DOCKLANDS 3008,Docklands,Private,331,144.94799,-37.81938
2012,1105,578096,578096,715-727 Bourke Street DOCKLANDS 3008,Docklands,Private,171,144.95025,-37.81866
2012,1105,588061,588061,8-18 McCrae Street DOCKLANDS 3008,Docklands,Residential,189,144.95076,-37.82151
2012,1105,598590,598590,720-750 Collins Street DOCKLANDS 3008,Docklands,Commercial,430,144.94933,-37.82
2012,1108,106983,106983,839 Collins Street DOCKLANDS 3008,Docklands,Commercial,420,144.93979,-37.82045
2012,1108,613252,613252,790-814 Collins Street DOCKLANDS 3008,Docklands,Private,223,144.94583,-37.82104
2012,1108,632511,632511,847-869 Bourke Street DOCKLANDS 3008,Docklands,Private,156,144.94232,-37.8206
2012,1109,573207,560004,15 Caravel Lane DOCKLANDS 3008,Docklands,Residential,150,144.94217,-37.81436
2012,1109,601815,601815,397-407 Docklands Drive DOCKLANDS 3008,Docklands,Commercial,387,144.94021,-37.81429
2012,1110,620308,593737,432-446 Docklands Drive DOCKLANDS 3008,Docklands,Residential,163,144.93785,-37.81338
2012,1110,620312,593737,23-37 Star Crescent DOCKLANDS 3008,Docklands,Commercial,718,144.93785,-37.81338
2012,1110,608355,608355,364-378 Docklands Drive DOCKLANDS 3008,Docklands,Commercial,144,144.94187,-37.81286
2012,1110,618853,618853,396-416 Docklands Drive DOCKLANDS 3008,Docklands,Commercial,286,144.94005,-37.81333
2012,2383,616843,616843,87-105 Racecourse Road NORTH MELBOURNE 3051,North Melbourne,Private,226,144.93888,-37.78982
2013,11,103987,103987,550-554 Flinders Street MELBOURNE 3000,Melbourne (CBD),Residential,152,144.95597,-37.8204
2013,12,103999,103999,1-13 William Street MELBOURNE 3000,Melbourne (CBD),Private,121,144.95951,-37.81943
2013,13,104002,104002,376-388 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,315,144.96155,-37.81884
2013,13,108060,108060,19-35 Queen Street MELBOURNE 3000,Melbourne (CBD),Private,172,144.96178,-37.81823
2013,14,101099,101099,16-26 Bond Street MELBOURNE 3000,Melbourne (CBD),Commercial,461,144.96306,-37.81815
2013,17,103592,103592,11-37 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Commercial,200,144.97173,-37.81546
2013,17,103592,103592,11-37 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Private,131,144.97173,-37.81546
2013,18,108977,108977,25-31 Spring Street MELBOURNE 3000,Melbourne (CBD),Residential,111,144.9741,-37.81455
2013,22,102102,102102,471-485 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,598,144.95855,-37.81842
2013,23,102100,102100,433-455 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,281,144.95988,-37.81798
2013,24,102092,102092,359-373 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,265,144.96244,-37.81728
2013,27,597183,102071,121-131 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,620,144.96981,-37.81512
2013,37,102161,102161,80 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,220,144.97069,-37.81364
2013,43,101154,101154,483-501 Bourke Street MELBOURNE 3000,Melbourne (CBD),Private,431,144.95958,-37.81589
2013,44,101147,101147,393-403 Bourke Street MELBOURNE 3000,Melbourne (CBD),Commercial,192,144.9622,-37.81514
2013,47,625840,103597,111-129 Bourke Street MELBOURNE 3000,Melbourne (CBD),Private,549,144.97011,-37.81281
2013,54,101187,101187,392-406 Bourke Street MELBOURNE 3000,Melbourne (CBD),Commercial,308,144.96174,-37.81422
2013,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Commercial,150,144.9706,-37.81122
