census_year,block_id,property_id,base_property_id,building_address,CLUE_small_area,parking_type,parking_spaces,longitude,latitude
2011,37,102155,102155,106-120 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,327,144.96932,-37.814
2011,37,102157,102157,90-98 Collins Street MELBOURNE 3000,Melbourne (CBD),Private,118,144.97029,-37.81402
2011,43,101154,101154,483-501 Bourke Street MELBOURNE 3000,Melbourne (CBD),Private,431,144.95958,-37.81589
2011,43,110147,110147,114-128 William Street MELBOURNE 3000,Melbourne (CBD),Private,103,144.95892,-37.81631
2011,47,625840,103597,111-129 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Private,549,144.97011,-37.81281
2011,48,105969,105969,34-60 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,932,144.97201,-37.81248
2011,51,101170,101170,624-634 Bourke Street MELBOURNE 3000,Melbourne (CBD),Private,125,144.9548,-37.81597
2011,51,558316,558316,654-670 Bourke Street MELBOURNE 3000,Melbourne (CBD),Residential,300,144.95404,-37.81627
2011,51,566659,566659,182-200 Spencer Street MELBOURNE 3000,Melbourne (CBD),Residential,367,144.9533,-37.81625
2011,52,612820,612820,147-185 William Street MELBOURNE 3000,Melbourne (CBD),Private,450,144.95761,-37.81526
2011,53,101176,101176,494-512 Bourke Street MELBOURNE 3000,Melbourne (CBD),Private,342,144.95877,-37.81494
2011,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Commercial,150,144.9706,-37.81122
2011,62,105862,105862,542-546 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Commercial,373,144.9564,-37.8148
2011,66,105693,105693,217-231 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Commercial,390,144.96587,-37.8118
2011,67,108582,108582,210-222 Russell Street MELBOURNE 3000,Melbourne (CBD),Commercial,445,144.96796,-37.81134
2011,68,103620,103620,196-226 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Private,230,144.97048,-37.81047
2011,68,103620,103620,196-226 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Commercial,249,144.97048,-37.81047
2011,71,108962,108962,244-276 Spencer Street MELBOURNE 3000,Melbourne (CBD),Commercial,173,144.95296,-37.81438
2011,72,110708,110707,535 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Commercial,800,144.956,-37.81346
2011,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Commercial,1150,144.96573,-37.81068
2011,76,589842,105749,10 Artemis Lane MELBOURNE 3000,Melbourne (CBD),Private,218,144.96573,-37.81068
2011,78,110713,580090,2 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Private,185,144.97141,-37.80904
2011,81,561698,105462,550 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Private,400,144.9527,-37.81331
2011,88,110650,105437,28 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Residential,234,144.97042,-37.80826
2011,88,105438,105438,288-326 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Private,100,144.96966,-37.80849
2011,94,105484,105484,296-310 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Commercial,520,144.96037,-37.80998
2011,95,105485,105485,224-252 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Commercial,716,144.96228,-37.80966
2011,101,105111,105111,50-64 Jeffcott Street WEST MELBOURNE 3003,West Melbourne (Residential),Residential,178,144.95161,-37.81157
2011,105,103302,103302,422-440 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Private,107,144.96101,-37.80863
2011,204,591507,591507,375 Cardigan Street CARLTON 3053,Carlton,Commercial,715,144.96573,-37.79751
2011,212,102697,102697,473-545 Rathdowne Street CARLTON 3053,Carlton,Residential,345,144.96925,-37.79475
2011,217,106193,106193,368-386 Lygon Street CARLTON 3053,Carlton,Commercial,154,144.96815,-37.79804
2011,218,102675,102675,247-253 Drummond Street CARLTON 3053,Carlton,Commercial,205,144.96781,-37.79982
2011,247,106237,106237,204-218 Lygon Street CARLTON 3053,Carlton,Commercial,408,144.96714,-37.80219
2011,265,109845,109845,110-120 Victoria Street CARLTON 3053,Carlton,Private,235,144.96393,-37.80606
2011,265,559514,559514,470-496 Swanston Street CARLTON 3053,Carlton,Residential,156,144.96354,-37.80558
2011,271,102052,102052,29-55 College Crescent PARKVILLE 3052,Parkville,Private,136,144.96052,-37.79308
2011,271,102054,102054,65 College Crescent PARKVILLE 3052,Parkville,Private,130,144.95942,-37.79514
2011,274,107697,107696,Royal Parade CARLTON NORTH 3054,Carlton,Private,140,144.96153,-37.78498
2011,503,109449,109449,50-60 Lloyd Street KENSINGTON 3031,Kensington,Private,127,144.9299,-37.7996
2011,607,110002,110002,98-108 Wellington Parade EAST MELBOURNE 3002,East Melbourne,Private,102,144.98678,-37.81619
2011,615,102007,102007,126-158 Clarendon Street EAST MELBOURNE 3002,East Melbourne,Residential,112,144.9841,-37.81228
2011,615,102007,102007,126-158 Clarendon Street EAST MELBOURNE 3002,East Melbourne,Private,152,144.9841,-37.81228
2011,618,109996,109996,1-9 Powlett Street EAST MELBOURNE 3002,East Melbourne,Residential,114,144.98483,-37.81609
2011,651,557129,101779,10 St Andrews Place EAST MELBOURNE 3002,East Melbourne,Private,146,144.9774,-37.81152
2011,658,110266,110266,120 Brunton Avenue JOLIMONT 3002,East Melbourne,Private,370,144.98319,-37.82001
2011,659,614000,100847,Batman Avenue MELBOURNE 3004,Melbourne (Remainder),Private,200,144.97904,-37.82134
2011,660,109256,109256,2-100 Olympic Boulevard MELBOURNE 3004,Melbourne (Remainder),Private,287,144.98246,-37.82485
2011,660,602280,109256,90 Olympic Boulevard MELBOURNE 3004,Melbourne (Remainder),Commercial,154,144.98246,-37.82485
2011,720,108629,108629,427-431 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Residential,126,144.97706,-37.83853
2011,724,108646,108646,519-539 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Residential,470,144.97987,-37.84556
2011,724,108647,108647,541-543 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,128,144.98006,-37.84607
2011,724,108649,108649,549-551 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,250,144.98028,-37.84659
2011,729,110486,110486,61-67 Whiteman Street SOUTHBANK 3006,Southbank,Residential,345,144.95685,-37.82606
2011,732,110483,110483,127-135 Clarendon Street SOUTHBANK 3006,Southbank,Commercial,204,144.95912,-37.82825
2011,735,110637,110637,31-49 Moray Street SOUTHBANK 3006,Southbank,Commercial,180,144.9614,-37.82762
2011,743,110451,110451,62-104 Coventry Street SOUTHBANK 3006,Southbank,Residential,112,144.9679,-37.82916
2011,746,110438,110437,80 Dorcas Street SOUTHBANK 3006,Southbank,Private,128,144.96623,-37.83069
2011,748,108658,108658,312-318 St Kilda Road SOUTHBANK 3006,Southbank,Commercial,240,144.97069,-37.82909
2011,748,110433,110433,6-8 Dorcas Street SOUTHBANK 3006,Southbank,Residential,221,144.97018,-37.82985
2011,752,110736,110736,130-200 St Kilda Road SOUTHBANK 3006,Southbank,Private,850,144.96863,-37.82274
2011,753,110379,110380,40 City Road SOUTHBANK 3006,Southbank,Private,257,144.9663,-37.82072
2011,759,108632,108632,439-445 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,343,144.97768,-37.83949
2011,760,108636,108636,469-471 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Residential,231,144.97839,-37.84143
2011,760,108638,108638,477-479 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,204,144.97856,-37.84188
2011,760,108642,108642,497-503 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Commercial,320,144.97908,-37.84332
2011,760,108644,108644,509-515 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,342,144.97936,-37.8441
2011,773,560261,560261,50-56 Lorimer Street DOCKLANDS 3008,Docklands,Residential,250,144.94748,-37.82484
2011,773,560266,560266,58-70 Lorimer Street DOCKLANDS 3008,Docklands,Residential,384,144.94629,-37.82485
2011,780,110590,110590,158-222 Salmon Street PORT MELBOURNE 3207,Port Melbourne,Private,200,144.92344,-37.82574
2011,784,600460,110597,10 Central Boulevard FISHERMANS BEND 3207,Port Melbourne,Private,118,144.91884,-37.82228
2011,795,110599,110599,120-178 PORT MELBOURNE 3207,Port Melbourne,Private,120,144.90851,-37.83973
2011,801,559161,559161,3-7 Riverside Quay SOUTHBANK 3006,Southbank,Residential,1000,144.96454,-37.82168
2011,801,570659,570659,64-78 City Road SOUTHBANK 3006,Southbank,Commercial,562,144.96514,-37.82175
2011,802,575820,575820,1-9 Freshwater Place SOUTHBANK 3006,Southbank,Residential,515,144.96218,-37.82172
2011,804,110527,110484,15 Convention Centre Place SOUTH WHARF 3006,Southbank,Commercial,1266,144.95232,-37.82543
2011,804,623557,110484,2 Clarendon Street SOUTH WHARF 3006,Southbank,Commercial,1696,144.95232,-37.82543
2011,804,110538,110538,112-168 Normanby Road SOUTH WHARF 3006,Southbank,Commercial,688,144.94992,-37.8268
2011,806,110343,110343,27-45 Whiteman Street SOUTHBANK 3006,Southbank,Commercial,2200,144.95856,-37.82522
2011,808,108046,108046,63-85 Queens Bridge Street SOUTHBANK 3006,Southbank,Residential,325,144.96119,-37.82386
2011,808,110385,110385,174-184 City Road SOUTHBANK 3006,Southbank,Residential,386,144.96192,-37.82384
2011,811,111373,111373,34-52 Kavanagh Street SOUTHBANK 3006,Southbank,Residential,140,144.96411,-37.82376
2011,860,102508,102508,191-201 Domain Road SOUTH YARRA 3141,South Yarra,Residential,107,144.98292,-37.83447
2011,863,108616,108616,321-369 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,200,144.97655,-37.83405
2011,871,108651,108651,567-581 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,192,144.98323,-37.84921
2011,871,108652,108652,583-597 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,100,144.98217,-37.84974
2021,919,103256,103256,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,Parkville,Commercial,320,144.95667,-37.80019
2021,930,107617,107617,35-37 Poplar Road PARKVILLE VIC 3052,Parkville,Private,169,144.94741,-37.78126
2021,931,107427,107427,State Netball Hockey Centre 10 Brens Drive PARKVILLE VIC 3052,Parkville,Private,341,144.94768,-37.78533
2021,1001,107001,107001,29-79 MacKenzie Road WEST MELBOURNE VIC 3003,West Melbourne (Industrial),Private,130,144.91123,-37.81297
2021,1004,104052,104052,672-692 Footscray Road WEST MELBOURNE VIC 3003,West Melbourne (Industrial),Private,100,144.91094,-37.80569
2021,1006,102993,102993,Pacific National Melbourne Freight Terminal Rear 69-371 Dynon Road WEST MELBOURNE VIC 3003,West Melbourne (Industrial),Private,132,144.9244,-37.80368
2021,1101,108845,108845,Grand Central Apartments 33-71 Spencer Street DOCKLANDS VIC 3008,Docklands,Residential,120,144.9542,-37.82018
2021,1102,588807,588807,208-226 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Private,324,144.94516,-37.81316
2021,1102,611576,611576,1010 La Trobe Street DOCKLANDS VIC 3008,Docklands,Private,103,144.94538,-37.81455
2021,1103,558180,558180,Marvel Stadium 122-148 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Private,2500,144.94756,-37.81674
2021,1103,573401,573401,Bourke Junction 700-704 Bourke Street DOCKLANDS VIC 3008,Docklands,Private,147,144.94936,-37.81715
2021,1103,598612,573403,Victoria Point Units 100-108 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Residential,448,144.94735,-37.81813
2021,1104,598658,576023,The Podium Building 2-24 Waterview Walk DOCKLANDS VIC 3008,Docklands,Commercial,113,144.94799,-37.81938
2021,1105,578096,578096,715-727 Bourke Street DOCKLANDS VIC 3008,Docklands,Commercial,300,144.95025,-37.81866
2021,1105,598590,598590,720-750 Collins Street DOCKLANDS VIC 3008,Docklands,Private,430,144.94933,-37.82
2021,1105,628713,628713,2-12 Batmans Hill Drive DOCKLANDS VIC 3008,Docklands,Private,242,144.95007,-37.82173
2021,1105,628714,628714,733-747 Collins Street DOCKLANDS VIC 3008,Docklands,Private,114,144.9495,-37.82093
2021,1109,584059,584059,The Conder 2-16 Newquay Promenade DOCKLANDS VIC 3008,Docklands,Residential,275,144.94369,-37.81381
2021,1109,593732,593732,6-22 Pearl River Road DOCKLANDS VIC 3008,Docklands,Residential,307,144.93829,-37.81546
2021,1109,678375,593733,15 Doepel Way DOCKLANDS VIC 3008,Docklands,Residential,176,144.93972,-37.81472
2021,1109,678377,593733,421 Docklands Drive DOCKLANDS VIC 3008,Docklands,Residential,220,144.93972,-37.81472
2021,1109,601815,601815,Aquavista 397-407 Docklands Drive DOCKLANDS VIC 3008,Docklands,Commercial,329,144.94021,-37.81429
2021,870,107775,107775,Royal Freemasons Homes Of Victoria 31-75 Moubray Street MELBOURNE VIC 3004,Melbourne (Remainder),Private,124,144.9834,-37.84762
2020,570,108810,108810,Flemington Racecourse 428-514 Epsom Road FLEMINGTON VIC 3031,Kensington,Private,6000,144.9127,-37.78907
2020,607,110002,110002,98-108 Wellington Parade EAST MELBOURNE VIC 3002,East Melbourne,Private,102,144.98678,-37.81619
2020,613,593695,109643,The Albert 158 Albert Street EAST MELBOURNE VIC 3002,East Melbourne,Residential,198,144.98562,-37.81005
2020,613,109645,109645,388-410 Victoria Parade EAST MELBOURNE VIC 3002,East Melbourne,Residential,254,144.98484,-37.80996
2020,614,102005,102005,Epworth Freemasons Hospital 99-129 Albert Street EAST MELBOURNE VIC 3002,East Melbourne,Private,340,144.98419,-37.81107
2020,620,109652,109652,298-336 Victoria Parade EAST MELBOURNE VIC 3002,East Melbourne,Commercial,350,144.98225,-37.80946
2020,644,109669,109669,68-90 Victoria Parade EAST MELBOURNE VIC 3002,East Melbourne,Commercial,500,144.97429,-37.80856
2020,646,100341,100341,410-418 Albert Street EAST MELBOURNE VIC 3002,East Melbourne,Commercial,324,144.97709,-37.80934
2020,649,110742,108974,Parliament House Parliament of Victoria 160 Spring Street EAST MELBOURNE VIC 3002,East Melbourne,Private,172,144.97416,-37.81086
2020,651,557129,101779,10 St Andrews Place EAST MELBOURNE VIC 3002,East Melbourne,Private,146,144.9774,-37.81152
2020,651,565541,101779,2 St Andrews Place EAST MELBOURNE VIC 3002,East Melbourne,Private,118,144.9774,-37.81152
2020,659,100847,100847,Melbourne Park 200 Batman Avenue MELBOURNE VIC 3004,Melbourne (Remainder),Private,273,144.97904,-37.82134
2020,659,614000,100847,Rod Laver Arena Melbourne Park 200 Batman Avenue MELBOURNE VIC 3004,Melbourne (Remainder),Private,200,144.97904,-37.82134
2020,660,602280,109256,Carpark Olympic Park 90 Olympic Boulevard MELBOURNE VIC 3004,Melbourne (Remainder),Commercial,154,144.98246,-37.82485
2020,720,108627,108627,415-421 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Private,374,144.97704,-37.83775
2020,724,108647,108647,541-543 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Private,128,144.98006,-37.84607
2020,724,108649,108649,549-551 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Private,250,144.98028,-37.84659
2020,724,632373,632373,555-563 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Residential,365,144.98057,-37.84731
2020,729,110347,110347,The Centurion Apartments 81-89 Whiteman Street SOUTHBANK VIC 3006,Southbank,Residential,225,144.95603,-37.82697
2020,729,110486,110486,Vue Grande Apartments 61-67 Whiteman Street SOUTHBANK VIC 3006,Southbank,Residential,345,144.95685,-37.82606
2020,732,110373,110373,The Bank Apartments 269-283 City Road SOUTHBANK VIC 3006,Southbank,Residential,252,144.95903,-37.8273
2020,735,110637,110637,31-49 Moray Street SOUTHBANK VIC 3006,Southbank,Commercial,180,144.9614,-37.82762
2020,740,559375,559375,Mercedes Benz Melbourne 135-149 Kings Way SOUTHBANK VIC 3006,Southbank,Private,143,144.96355,-37.82796
2020,742,110424,110424,12-80 Wells Street SOUTHBANK VIC 3006,Southbank,Residential,108,144.96834,-37.82674
2020,742,110426,110426,90-104 Wells Street SOUTHBANK VIC 3006,Southbank,Residential,163,144.96798,-37.82792
2020,743,110451,110451,62-104 Coventry Street SOUTHBANK VIC 3006,Southbank,Residential,112,144.9679,-37.82916
2020,744,110618,110618,211-229 Sturt Street SOUTHBANK VIC 3006,Southbank,Residential,175,144.96618,-37.82969
2020,750,569749,108655,West Tower 250 St Kilda Road SOUTHBANK VIC 3006,Southbank,Residential,473,144.9701,-37.82562
2020,753,110323,110380,Langham Hotel 1 Southgate Avenue SOUTHBANK VIC 3006,Southbank,Private,100,144.9663,-37.82072
2020,753,110379,110380,Herald And Weekly Times Building 40 City Road SOUTHBANK VIC 3006,Southbank,Private,257,144.9663,-37.82072
2020,753,110607,110607,Quay West Apartments 24-26 Southgate Avenue SOUTHBANK VIC 3006,Southbank,Private,160,144.96711,-37.82038
2020,760,108636,108636,469-471 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Residential,231,144.97839,-37.84143
2020,760,108638,108638,477-479 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Private,204,144.97856,-37.84188
2020,760,108642,108642,497-503 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Residential,307,144.97908,-37.84332
2020,773,560261,560261,50-56 Lorimer Street DOCKLANDS VIC 3008,Docklands,Residential,250,144.94748,-37.82484
2020,774,611377,611377,161-189 Turner Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,109,144.93204,-37.82353
2020,776,691493,691493,111 Lorimer Street DOCKLANDS VIC 3008,Docklands,Private,113,144.93831,-37.82367
2020,779,110587,110587,2-46 Douglas Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,311,144.9257,-37.82602
2020,782,110519,110519,768-798 Lorimer Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,220,144.92887,-37.82258
2020,784,600460,110597,10 Central Boulevard PORT MELBOURNE VIC 3207,Port Melbourne,Private,118,144.91884,-37.82228
2020,786,110575,110575,Melbourne International Karting Complex 1-31 Cook Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,350,144.91338,-37.8309
2020,786,110591,110591,189-219 Salmon Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,1197,144.92048,-37.82477
2020,786,650394,650394,580-600 Lorimer Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,191,144.91638,-37.82255
2020,786,692423,692423,61-65 Cook Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,161,144.91751,-37.82688
2020,789,110577,110577,Herald And Weekly Times Westgate Print Centre 127 Todd Road PORT MELBOURNE VIC 3207,Port Melbourne,Private,260,144.91016,-37.8282
2020,790,559302,559302,187 Todd Road PORT MELBOURNE VIC 3207,Port Melbourne,Private,280,144.91057,-37.82639
2020,790,570827,570827,294-308 Lorimer Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,220,144.90733,-37.82542
2020,790,597228,597228,11-25 Wirraway Drive PORT MELBOURNE VIC 3207,Port Melbourne,Private,184,144.90991,-37.82554
2020,791,110501,110501,Boeing Aerostructures Australia 224-260 Lorimer Street PORT MELBOURNE VIC 3207,Port Melbourne,Private,950,144.90413,-37.82897
2020,795,110495,110495,46-48 Kooringa Way PORT MELBOURNE VIC 3207,Port Melbourne,Private,235,144.90283,-37.84096
2020,795,110598,110598,68-80 Webb Dock Drive PORT MELBOURNE VIC 3207,Port Melbourne,Private,168,144.91266,-37.84514
2020,801,570659,570659,64-78 City Road SOUTHBANK VIC 3006,Southbank,Commercial,667,144.96514,-37.82175
2020,802,613006,613006,28 Freshwater Place SOUTHBANK VIC 3006,Southbank,Commercial,247,144.96229,-37.82267
2020,804,623557,110484,Melbourne Exhibition Centre 2 Clarendon Street SOUTH WHARF VIC 3006,Southbank,Commercial,1696,144.95232,-37.82543
2020,804,630298,110484,South Wharf Office Tower 30 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Private,121,144.95232,-37.82543
2020,807,108054,108054,1-25 Whiteman Street SOUTHBANK VIC 3006,Southbank,Private,200,144.96002,-37.82398
2020,808,108046,108046,63-85 Queens Bridge Street SOUTHBANK VIC 3006,Southbank,Residential,325,144.96119,-37.82386
2020,810,590043,576746,Melbourne Tower 171-179 City Road SOUTHBANK VIC 3006,Southbank,Residential,352,144.96218,-37.82476
2020,810,590044,576746,City Tower 181-187 City Road SOUTHBANK VIC 3006,Southbank,Residential,360,144.96218,-37.82476
2020,810,576748,576748,Sentinel 70-92 Kavanagh Street SOUTHBANK VIC 3006,Southbank,Residential,282,144.96305,-37.82469
2020,811,110364,110364,141-155 City Road SOUTHBANK VIC 3006,Southbank,Residential,464,144.96325,-37.82376
2020,812,110415,110415,Century Tower Apartments 12-16 Kavanagh Street SOUTHBANK VIC 3006,Southbank,Residential,161,144.96626,-37.82261
2020,813,110411,110411,The Primrose Potter Australian Ballet Centre 2-6 Kavanagh Street SOUTHBANK VIC 3006,Southbank,Commercial,436,144.96736,-37.82197
2020,860,102508,102508,191-201 Domain Road SOUTH YARRA VIC 3141,South Yarra,Residential,107,144.98292,-37.83447
2020,863,108616,108616,Melbourne Grammar School 321-369 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Private,200,144.97655,-37.83405
2020,869,107776,107776,96-104 Commercial Road SOUTH YARRA VIC 3141,South Yarra,Residential,100,144.98468,-37.84531
2020,870,102178,102178,Alfred Hospital 23-99 Commercial Road PRAHRAN VIC 3181,Melbourne (Remainder),Commercial,1729,144.98282,-37.84657
2020,904,108506,108506,Victorian College Of Pharmacy 381-405 Royal Parade PARKVILLE VIC 3052,Parkville,Private,100,144.95868,-37.78398
2020,920,104437,104437,Royal Melbourne Hospital 300-328 Grattan Street PARKVILLE VIC 3050,Parkville,Commercial,904,144.95634,-37.79863
2020,928,111485,111485,Mental Health Research Institute 143-165 Oak Street PARKVILLE VIC 3052,Parkville,Private,100,144.94211,-37.77856
2020,928,676588,676588,57-63 Galada Avenue PARKVILLE VIC 3052,Parkville,Residential,135,144.93949,-37.7801
2020,1007,107575,107575,2 Phillipps Road WEST MELBOURNE VIC 3003,West Melbourne (Industrial),Private,197,144.91932,-37.81381
2020,1101,108845,108845,Grand Central Apartments 33-71 Spencer Street DOCKLANDS VIC 3008,Docklands,Residential,120,144.9542,-37.82018
2020,1101,108973,108973,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Commercial,154,144.95223,-37.81841
2020,1101,110843,110843,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Commercial,583,144.95056,-37.81451
2020,1102,611576,611576,1010 La Trobe Street DOCKLANDS VIC 3008,Docklands,Private,103,144.94538,-37.81455
2020,1103,589575,589575,150-170 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Private,144,144.94594,-37.81581
2020,1104,598658,576023,The Podium Building 2-24 Waterview Walk DOCKLANDS VIC 3008,Docklands,Commercial,113,144.94799,-37.81938
2020,1108,604124,604124,816-828 Bourke Street DOCKLANDS VIC 3008,Docklands,Private,135,144.94397,-37.81927
2020,1109,573205,560004,Sant' Elia 30 Newquay Promenade DOCKLANDS VIC 3008,Docklands,Residential,100,144.94217,-37.81436
2020,1109,573207,560004,The Palladio 15 Caravel Lane DOCKLANDS VIC 3008,Docklands,Residential,150,144.94217,-37.81436
2020,1109,584059,584059,The Conder 2-16 Newquay Promenade DOCKLANDS VIC 3008,Docklands,Residential,275,144.94369,-37.81381
2020,1109,593732,593732,6-22 Pearl River Road DOCKLANDS VIC 3008,Docklands,Residential,308,144.93829,-37.81546
2020,1109,627659,627659,231-245 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Residential,544,144.943,-37.81355
2020,1110,618853,618853,396-416 Docklands Drive DOCKLANDS VIC 3008,Docklands,Commercial,238,144.94005,-37.81333
2020,2386,616163,616161,12 Sutton Street NORTH MELBOURNE VIC 3051,North Melbourne,Residential,199,144.94095,-37.79163
2021,6,578328,573333,Carpark Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,450,144.96994,-37.81778
2021,12,103997,103997,472-482 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,330,144.95827,-37.81973
2021,12,103998,103998,452-470 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,296,144.9586,-37.81947
2021,12,103999,103999,The Clarion Gateway Apartments 1-13 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,109,144.95951,-37.81943
2021,12,110091,110091,15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,300,144.9592,-37.81929
2021,17,103592,103592,11-37 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,200,144.97173,-37.81546
2021,17,104026,104026,104-112 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,171,144.97116,-37.81601
2021,18,111072,111072,32-44 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,532,144.97319,-37.81539
2021,22,102101,110661,MLC Tower (North Tower) 459 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,100,144.95892,-37.81817
2021,26,102073,102073,141-165 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,350,144.96876,-37.81545
2021,27,102067,102067,89-105 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,377,144.97077,-37.81489
2021,28,102063,102060,Collins Place 45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,552,144.97263,-37.81431
2021,32,102115,102115,522-534 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,350,144.95681,-37.8177
2021,32,102120,102120,464-466 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,108,144.95859,-37.81746
2021,33,102124,102124,430-442 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,102,144.95976,-37.81703
2021,41,108965,108965,134-160 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,127,144.95375,-37.81739
2021,42,101156,101155,535 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,300,144.95781,-37.81637
2021,43,101154,101154,RACV Building 483-501 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,431,144.95958,-37.81589
2021,46,105963,105963,Council House 196-212 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,109,144.96715,-37.8139
2021,52,612820,636824,CGU Tower 181 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,450,144.95739,-37.81532
2021,56,101204,101204,194-200 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,130,144.96727,-37.81242
2021,57,101219,101219,The Paramount 100-116 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,215,144.96976,-37.81173
2021,57,108584,108584,170-190 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,409,144.96814,-37.81199
2021,58,103621,103621,174-192 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,150,144.9706,-37.81122
2021,61,674546,105718,21-39 Rose Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,246,144.95361,-37.81542
2021,62,105862,105862,542-546 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,373,144.9564,-37.8148
2021,71,105719,105719,Melbourne One Apartments 612-620 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,389,144.95392,-37.81424
2021,72,110708,110707,535 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,800,144.956,-37.81346
2021,73,559301,559301,458-468 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,294,144.95835,-37.81306
