id,name3,host_id,host_name,neighbourhood_group,neighbourhood,latitude3,longitude3,room_type3,low_price,minimum_nights3,number_of_reviews3,reviews_per_month,calculated_host_listings_count,availability_365
19460393,Melbourne Chadstone comfy private room for ONE,135826423,Iris,,Monash,-37.88723074,145.1065942,Private room,25,1,30,1.72,1,25
10000335,Furnished Opposite Monash Uni Clayton (Room 5),51373610,Andre,,Monash,-37.91697096,145.1380917,Private room,25,3,0,,4,0
17794645,Comfortable room with convenient commute,121580520,Thang,,Monash,-37.89837292,145.0762497,Private room,29,1,0,,1,0
12956853,double bedroom in clayton,63166264,Lana,,Monash,-37.91739924,145.1222887,Private room,29,14,0,,3,177
18662902,"Beautiful, convenient and quite room for two",20871870,Chenhui,,Monash,-37.90009525,145.1565849,Private room,30,1,88,4.7,11,342
12716042,bright bedroom in Wheelers Hill,66850875,Min,,Monash,-37.90438218,145.1870308,Private room,30,2,21,0.69,1,220
16485259,Rephidim lounge,41011904,Charles,,Moonee Valley,-37.77497524,144.908291,Shared room,19,1,44,1.89,2,358
9631445,Double room in friendly houseshare,49813558,Nicole,,Moonee Valley,-37.76581367,144.9080831,Private room,26,1,2,0.05,1,0
21443444,Single room 15 minutes from CBD in a nice house,155576113,Anna,,Moonee Valley,-37.76999995,144.9188194,Private room,28,7,0,,1,0
16339394,Rephidim,41011904,Charles,,Moonee Valley,-37.77390114,144.9092733,Private room,30,1,12,0.51,2,172
20155884,MarlenMelbourne 2,143424838,Malin,,Moonee Valley,-37.75072901,144.8538147,Private room,30,1,25,1.92,2,25
13194758,Cosy Abode in Flemington,901497,Elle,,Moonee Valley,-37.78595871,144.9344911,Private room,32,1,0,,1,0
21517710,Quick vacation,156366185,Deheny,,Moonee Valley,-37.78568535,144.939882,Private room,35,1,1,0.08,1,0
13053440,15-20 minutes to City Center-close to the airport,15659426,Julia,,Moonee Valley,-37.7639012,144.9101269,Private room,35,2,18,0.59,1,34
10770086,Modern Apartment with City Views,54793045,Glenmere85,,Moonee Valley,-37.78451268,144.938301,Private room,35,900,1,0.04,1,358
15044841,currently unavailable,95066797,Sam,,Moonee Valley,-37.78551222,144.9393159,Private room,37,1,2,0.07,1,0
12251841,Fold out sofa in lounge room,26336840,Joseph,,Moreland,-37.72187911,144.9711777,Shared room,18,3,8,0.88,2,355
17242126,BIG house on O'Hea St,26024492,Shane,,Moreland,-37.73711147,144.9499468,Private room,19,7,1,0.05,1,0
20611881,Single room available from 3/09/17 till 30/09/17,143869312,Sian,,Moreland,-37.71736655,144.9198836,Private room,22,4,0,,1,0
11646310,FULL FURNITURE SINGLE ROOM,40908292,Tina,,Moreland,-37.69984183,144.9395045,Private room,24,90,3,0.09,6,365
7440879,Cosy Place in Spacious Modern House,33559438,Munawar,,Moreland,-37.73706439,144.9768564,Shared room,25,1,8,0.2,1,0
8974809,CUTE ROOM IN HEART OF BRUNSWICK,46899396,Louise,,Moreland,-37.76657639,144.9680026,Private room,25,1,4,0.11,1,0
15591060,Cosy room in Melbourne :),93569562,Athirah,,Moreland,-37.76711431,144.9406486,Shared room,25,1,46,1.79,2,93
21585769,Amazing brand new house on the city's sunburn,156270794,Mirko,,Moreland,-37.72009763,144.9531648,Private room,25,1,0,,1,0
21245561,TOP LOCATION ACCOMMODATION!,153578738,Mai,,Moreland,-37.753574,144.962314,Private room,25,2,2,0.19,1,363
17854312,Cosy private room at great location!,121961565,Sofia,,Moreland,-37.73343575,144.9645011,Private room,25,4,1,0.05,1,0
13834495,"Clean, comfortable and friendly",81598239,Bronny,,Nillumbik,-37.70900359,145.1526225,Private room,22,1,6,0.21,2,0
980716,Small Home in a bush setting       ,5370551,Lyn,,Nillumbik,-37.67854434,145.166333,Private room,55,1,38,0.55,1,358
7921340,Perfect Holiday stay in Eltham,23985479,Celia,,Nillumbik,-37.70232741,145.1680062,Private room,60,1,0,,1,362
1344239,Warrandyte Private Room & Entrance,7291671,Maria,,Nillumbik,-37.72108716,145.2031601,Private room,60,2,24,0.42,1,351
15748143,Blackwood Bush Retreat,25417388,Aaron,,Nillumbik,-37.5477874,145.2759589,Private room,65,1,13,3.75,1,39
2328037,Ingrams Cottage Guest Suite,11888729,Nadia,,Nillumbik,-37.69741169,145.1811542,Private room,66,10,11,0.2,1,88
724777,Peaceful self-contained studio,3746937,Louise,,Nillumbik,-37.60993047,145.2102089,Private room,69,2,1,0.03,1,88
11497676,"Private, secure and quiet",60013674,Martin,,Nillumbik,-37.66106479,145.1551617,Private room,71,1,2,0.07,1,0
10841395,Modern home in leafy Eltham,4375244,Liz,,Nillumbik,-37.71160021,145.1700827,Private room,75,1,8,0.25,1,0
13299491,"House in the hills, (Room 2)",20342358,Liz,,Nillumbik,-37.6252523,145.2754256,Private room,75,1,32,1.1,2,149
14657470,Luna park n saint kilda beach,54027231,Yogs,,Port Phillip,-37.86449209,144.9763886,Shared room,18,1,0,,6,0
3194833,109Clarendontst southbank Melbourne,1424387,Patrik,,Port Phillip,-37.82862941,144.9595787,Shared room,24,1,1,0.02,1,0
12821128,Perfect for professionals!,69942112,Shahar,,Port Phillip,-37.88114214,144.9957551,Private room,28,4,0,,1,0
21357407,St Kilda Star - close to the beach and night life,10365264,Alexander,,Port Phillip,-37.86300626,144.9735292,Shared room,29,1,0,,1,0
14388928,Awesome Acco @ St Kilda-Heart of Melbourne...,88387350,Amit,,Port Phillip,-37.85396043,144.980902,Private room,30,1,16,0.58,2,0
6799878,Comfortable Spacious Elwood Living,35595639,Miles,,Port Phillip,-37.87220284,144.9887439,Private room,30,2,1,0.04,1,0
18722892,Huge sunlight-filled bedroom in St Kilda apartment,70488910,Jem,,Port Phillip,-37.86099842,144.9787406,Private room,30,3,3,0.17,1,0
18936867,Private room in a lovely house!,132014608,Juan,,Port Phillip,-37.87056519,144.9978696,Private room,30,4,2,0.11,1,0
18676926,New apartment and beautiful view near St Kilda,129799612,Rebecca,,Port Phillip,-37.85362642,144.9815349,Private room,30,7,0,,1,0
13736504,"Warm, Inviting & Close to it all!",80395972,Karli,,Port Phillip,-37.85815742,144.9919574,Private room,30,20,1,0.04,1,0
18186758,Prahran apartment. Great location.,46769195,Clive,,Stonnington,-37.84843276,144.99255,Private room,22,1,1,0.05,1,0
3462065,Huge room! Chapel St/St Kilda,17445414,Adeela,,Stonnington,-37.85337942,144.9848903,Private room,25,1,1,0.02,1,0
16273825,Cosy Room in Great Location,29897667,Gabriel,,Stonnington,-37.85985248,145.0205596,Private room,30,4,3,0.13,1,0
11421521,"Life of the ""Rich & Famous"" -Toorak",58223971,Sandy,,Stonnington,-37.84003107,145.0038059,Private room,30,7,5,0.15,1,250
10545877,Close to Chadstone Townhouse,7157842,Riesa,,Stonnington,-37.88910521,145.0863003,Private room,32,1,1,0.14,1,0
16473197,In between Malven and Caulfield station,108115073,Prabhu,,Stonnington,-37.8708311,145.0371231,Private room,32,1,0,,1,0
6678570,CBDMelbourne 5'Tram and 15'walking,34887931,Raul,,Stonnington,-37.83819097,144.990662,Private room,35,1,0,,1,0
20465137,Private Room close to Chadstone mall,122792119,Nabeel,,Stonnington,-37.88833716,145.0867861,Private room,35,1,0,,1,0
20951861,South East Delight,16001036,Simon,,Stonnington,-37.85947148,145.0063272,Private room,35,2,2,0.15,2,0
12210637,A short walk from Chapel St,38218475,Emma,,Stonnington,-37.85813532,145.0001127,Private room,35,3,1,0.03,1,0
21533756,Shared room available for female for Short Stay,137143178,Mahek,,Whitehorse,-37.85724405,145.14998,Shared room,21,7,0,,1,0
12924038,"Near train station, great suburb, 12KM to CBD",61455951,Hans,,Whitehorse,-37.81948882,145.1061208,Shared room,22,1,8,0.29,12,179
12924110,Backpackers' delight near station 12KM to CBD,61455951,Hans,,Whitehorse,-37.82101433,145.1064708,Shared room,22,1,22,0.75,12,179
12923728,Share room near train station 12KM to CBD,61455951,Hans,,Whitehorse,-37.8212447,145.1044134,Shared room,24,1,2,0.34,12,179
29464825,Clifton House.,45345117,Roz,,Whitehorse,-37.84240693,145.1994121,Private room,25,1,7,5.83,1,157
8246232,B19. Box Hill Twin Room Girls Only,14967250,Jo,,Whitehorse,-37.81565361,145.1250864,Shared room,25,3,8,0.21,25,89
8380498,B16. Boys shareroom $17/night,14967250,Jo,,Whitehorse,-37.81285929,145.1251705,Shared room,25,3,15,0.39,25,71
10813331,B10. Box Hill Girls Room $17/night,14967250,Jo,,Whitehorse,-37.81186006,145.1239142,Shared room,25,5,2,0.06,25,27
6453680,B09. Box Hill Girls Room $19/night,14967250,Jo,,Whitehorse,-37.81136318,145.1240404,Shared room,25,6,15,0.41,25,75
5447603,B17. Boys room $19/night,14967250,Jo,,Whitehorse,-37.81117645,145.1251825,Shared room,25,7,17,0.37,25,89
21298788,Sth Morang house45 mins to Melbourne city by train,154131834,Danny,,Whittlesea,-37.63269205,145.0818133,Private room,25,1,0,,1,0
18709547,A Furnished Room in a Welcoming Family,130082483,Yousry,,Whittlesea,-37.65272933,145.0923494,Private room,25,3,0,,1,0
16060043,Cozy Newly Renovated Self Contained Cottage,101192200,Angelica,,Whittlesea,-37.65648821,145.064808,Private room,30,1,0,,1,0
20790020,Your warm and cosy room in Bundoora,98946639,Selda,,Whittlesea,-37.68393405,145.0541511,Private room,30,1,11,0.76,1,62
16769586,"Large Single room, 2 min to station",73245383,Nguyen,,Whittlesea,-37.680363,145.0105164,Private room,30,14,2,0.09,1,364
11263151,Comfortable safe with private bathroom + wifi,58797793,Mia,,Whittlesea,-37.62808946,145.0066757,Private room,30,30,31,0.91,1,119
17912129,Spacious house for peace lovers.,102778214,Mohammad,,Whittlesea,-37.63104207,145.0356892,Shared room,35,2,0,,2,0
18647172,"House room - Furnished, spacious, clean and quiet.",124835591,Alex,,Whittlesea,-37.64514156,145.0438066,Private room,37,2,6,0.32,1,78
14887582,Home away from home.,56263895,Susan,,Whittlesea,-37.63633068,145.0932966,Private room,40,1,3,0.19,1,177
15941384,Clean & Cosy family home,103472596,Raj,,Whittlesea,-37.62623576,145.0323415,Private room,40,1,2,0.08,1,162
13997715,Single clean room in Melbourne surburbs,28776949,Michael,,Wyndham,-37.8654514,144.7077926,Private room,28,3,12,0.47,1,0
15514629,Charming and full of character Room 1,99698806,Anthony,,Wyndham,-37.89770497,144.6250356,Private room,29,2,24,1.01,2,365
16968197,Charming and full of character Room 2,99698806,Anthony,,Wyndham,-37.89733117,144.6263405,Private room,29,2,27,1.2,2,365
6487741,Stylish & Modern Living B&B,1751503,Charlin & Candy,,Wyndham,-37.89716385,144.775156,Private room,30,1,57,1.5,3,74
7724084,Cozy & Modern B&B,1751503,Charlin & Candy,,Wyndham,-37.89737486,144.7763592,Private room,30,1,46,1.32,3,78
15064528,Economical and Resort style BNB,1751503,Charlin & Candy,,Wyndham,-37.89689233,144.7757607,Private room,30,1,11,0.74,3,57
19200148,Fully furnished new town house,109283684,Eric,,Wyndham,-37.86621994,144.7409477,Private room,30,1,2,0.11,1,0
515607,Quiet modern home 1,2539832,Craig,,Wyndham,-37.88857619,144.6369885,Private room,30,2,42,0.7,2,356
2238160,Quiet modern home 2,2539832,Craig,,Wyndham,-37.88970325,144.6367624,Private room,30,2,45,0.77,2,356
