id,name2,host_id,host_name,neighbourhood_group,neighbourhood,latitude2,longitude2,room_type2,high_price,minimum_nights2,number_of_reviews2,reviews_per_month,calculated_host_listings_count,availability_365,
4622909,Awesome church conversion cityviews,22930747,Kevin,,Darebin,-37.77500231,144.9976232,Entire home/apt,350,2,119,2.45,1,106,1
18198433,Contemporary Family Home in the Heart of Fairfield,125609519,Phillip,,Darebin,-37.78134153,145.0182425,Entire home/apt,350,3,41,2.07,2,158,1
21069824,Modern courtyard house,14874628,Tanya,,Darebin,-37.77955343,145.0046629,Entire home/apt,350,4,1,0.09,1,85,1
997517,Kanturk Country Retreat hideaway,5247469,Sally (And Gary),,Frankston,-38.18977395,145.2091043,Private room,1250,2,17,0.28,4,336,1
16456660,Beachfrontage - Long Island Luxury with Beach Box,37195672,Andrew From Allocate,,Frankston,-38.1375528,145.1218214,Entire home/apt,1040,3,1,0.04,1,352,1
15860124,Beachfront Luxury On The Mornington Peninsula,5764922,Christine,,Frankston,-38.13119646,145.1235013,Entire home/apt,999,2,8,0.32,1,65,1
15889927,Holiday Shacks - Anchor Beachfront Retreat,24814727,Andrea,,Frankston,-38.13809324,145.1211008,Entire home/apt,940,2,2,0.14,2,332,1
15790675,Davey's Bay Retreat,41668222,Mornington Peninsula Holiday Accomm,,Frankston,-38.16275673,145.1014509,Entire home/apt,800,2,5,0.22,3,91,1
15789612,Colin Hyett By Design,41668222,Mornington Peninsula Holiday Accomm,,Frankston,-38.18226677,145.1778182,Entire home/apt,500,2,3,0.17,3,168,1
9619551,Private resort living,49767054,Rachael-Anne,,Frankston,-38.18863482,145.1262237,Entire home/apt,498,7,0,,1,0,1
4711401,Beach House on beautiful Longisland,23361245,Nic,,Frankston,-38.137592,145.1208063,Entire home/apt,450,2,16,0.33,2,343,1
15416357,Isle of Serenity on Long Island Dream House,47934920,Yiqian,,Frankston,-38.13403089,145.1218132,Entire home/apt,400,1,30,1.15,4,341,1
3752438,Award Winning Beach Front Villa,19144074,"Zhao, Graeme & Ivana",,Frankston,-38.14219907,145.1207876,Entire home/apt,350,2,21,0.42,1,330,1
6239913,Amazing Inner City Designer Home,22740218,Jeremy,,Glen Eira,-37.87228887,145.0178465,Entire home/apt,980,5,0,,1,0,1
16785794,5 Bedroom Luxury Living,10736311,Steve,,Glen Eira,-37.90106096,145.0386207,Entire home/apt,975,7,4,0.2,1,156,1
20701900,Modern Family Living in a Period Home,46265010,Eric,,Glen Eira,-37.88591494,145.0048203,Entire home/apt,598,7,2,0.17,1,240,1
21072793,Newly renovated Victorian home,17530392,Aleisha,,Glen Eira,-37.88290053,145.0011793,Entire home/apt,490,2,1,0.07,1,0,1
20058698,"Boutique Stays - Caulfield Central, Pet Friendly Home",760849,Boutique Stays Accommodation Group,,Glen Eira,-37.88926691,145.0284787,Entire home/apt,465,5,3,0.23,55,352,1
