id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12259132,"1BR, NEWLY RENOVATED APARTMENT, CENTRAL LOCATION",9173366,Simone & Adam,,Glen Eira,-37.88530042,145.0302684,Entire home/apt,87,3,40,1.39,2,266
15099440,"Pied-a-Terre on Acland Street, St. Kilda Beach",342766,Jane,,Port Phillip,-37.86421939,144.9739898,Entire home/apt,87,3,88,3.35,1,174
641180,Cosy Inner City Studio Eco-Apartment,3079228,Anthony,,Moreland,-37.77593462,144.9692759,Entire home/apt,89,3,255,3.47,1,185
1271310,Stunning Victorian 1 Brm Apartment,6919472,Jonathan,,Port Phillip,-37.85771609,144.986269,Entire home/apt,89,3,15,0.47,1,160
5818680,Forest in Ormond.,8240993,Jessica,,Glen Eira,-37.90056188,145.0443307,Entire home/apt,89,3,15,1.4,1,102
8830622,Apartment off Chapel St Free Carparking  Free WiFi,37365096,Lily,,Stonnington,-37.84266954,144.9931132,Entire home/apt,89,3,68,1.8,2,42
8871250,A little bit of Melbourne - Aust.,333581,Brian,,Melbourne,-37.82180372,144.9556455,Private room,89,3,37,0.97,1,40
9977416,Charming & Bright 1br Apartment in South Yarra,51269089,Juan & Mariana,,Stonnington,-37.843208,144.9948569,Entire home/apt,89,3,17,0.48,1,0
10048954,Melbourne CBD with good view and location,51578002,Jane,,Melbourne,-37.81792431,144.9657735,Entire home/apt,89,3,16,0.46,1,15
11048570,Unit in the heart of Brunswick East,14215761,George,,Moreland,-37.76583693,144.972241,Entire home/apt,89,3,1,0.03,1,0
15761902,"1 Bed Unit, 12 mins from Melbourne",62213372,Joseph,,Boroondara,-37.81496467,145.0239601,Entire home/apt,89,3,4,0.17,1,0
15791005,"Big, light, airy room near CBD",24953295,Mark,,Melbourne,-37.81011786,144.947733,Private room,89,3,20,0.8,1,76
17726093,Evergreen Elwood - Enjoy This Beautiful Location!,120795906,Jennifer,,Port Phillip,-37.87588349,144.9814793,Entire home/apt,89,3,24,1.15,1,65
17767568,Cosy living with stunning view to Melbourne CBD,83266572,Hilda,,Maribyrnong,-37.8049729,144.9056549,Private room,89,3,1,0.07,1,0
20193968,Burwood nest,125080583,Jiawen,,Whitehorse,-37.85312932,145.1801014,Private room,89,3,0,,3,365
26318061,"Cute, Elegant townhouse between city and airport",152640623,Helen,,Moreland,-37.70776709,144.9224825,Entire home/apt,89,3,11,2.23,3,55
150729,"Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",376675,Ramona,,Yarra,-37.80508446,144.9794238,Private room,90,3,478,5.32,2,104
648169,Artist Warehouse Apartment Fitzroy,3251357,Ryan,,Yarra,-37.79703497,144.9831112,Private room,90,3,132,1.73,2,250
4292023,A warm & welcoming home awaits you,22282196,Manorani,,Moreland,-37.77220519,144.9639858,Private room,90,3,0,,1,0
5215366,Unobscured Views of Melbourne and Secure Car Space,26982483,Kathryn,,Melbourne,-37.82702899,144.9568334,Private room,90,3,238,5.21,1,324
6426561,North Melbourne Tree House,19336082,Matilda,,Melbourne,-37.79914116,144.9466815,Entire home/apt,90,3,4,0.1,1,0
6453078,Charming 1BR flat in Thornbury,22232672,Guy,,Darebin,-37.7634906,144.9947822,Entire home/apt,90,3,46,1.08,1,288
7637547,Happy Home in the Heart of Richmond,40071306,Rebekah,,Yarra,-37.82003573,144.9991177,Private room,90,3,0,,1,0
7809766,LORIKEET COSY CORNER at HENDERS,14391341,Kathie & Robert,,Whitehorse,-37.83769504,145.1606758,Entire home/apt,90,3,8,0.21,3,360
8428902,Double Bed Private Bathroom Box Hill,44380440,Tingting,,Whitehorse,-37.8153283,145.1288389,Shared room,90,3,0,,4,364
8461825,Room For Rent in Central CBD!!,6113547,Henry,,Melbourne,-37.81545906,144.9605986,Private room,90,3,0,,2,0
8596572,1 BR apartment- heart of Fitzroy :),1996835,Niall,,Yarra,-37.79431865,144.982503,Entire home/apt,90,3,5,0.13,1,0
8991775,"Quiet, central retreat in fabulous Fitzroy North",13767992,Andria,,Yarra,-37.78330144,144.9777158,Entire home/apt,90,3,6,1.15,1,0
9080214,City views in wonderful Northcote,38231585,Hanna,,Darebin,-37.77674147,144.9946423,Entire home/apt,90,3,1,0.03,1,0
9494332,Close to the Australian Open,49209009,Dylan,,Yarra,-37.80750448,144.9956082,Entire home/apt,90,3,1,0.04,1,0
10214510,Best Stay Accommodations,52487333,Betsy,,Melbourne,-37.80579516,144.9655548,Entire home/apt,90,3,25,0.83,1,212
10840505,Box Hill Family Short Stay,56139483,Yik Ming,,Whitehorse,-37.82090979,145.1142063,Private room,90,3,27,0.8,3,364
11614820,"MASTER BDROOM + EN SUITE, SOUTHBANK",61496741,Kym,,Melbourne,-37.82572096,144.9637034,Private room,90,3,61,1.84,1,274
12072691,Private Sunny Studio Apartment,64693563,Sally,,Hobsons Bay,-37.86358893,144.885754,Private room,90,3,9,0.28,1,281
14999657,Cosy modern unit!,74069943,B,,Hobsons Bay,-37.88178919,144.7809899,Entire home/apt,90,3,2,0.07,1,362
15762360,1 bed apt + car space near CBD Chapel St transport,13726814,Anne,,Stonnington,-37.83612046,144.9921627,Entire home/apt,90,3,26,1.13,1,0
15957864,Parkview hideaway,6745966,James,,Yarra,-37.77965357,144.9796268,Entire home/apt,90,3,8,0.32,1,0
16052675,Light-filled top floor apartment with leafy views,1209112,David,,Melbourne,-37.79692661,144.9446008,Entire home/apt,90,3,16,0.65,1,0
16491110,St Kilda East Home Away From Home,31634799,Mark,,Port Phillip,-37.86354198,145.0041848,Entire home/apt,90,3,21,0.9,10,35
16783335,Charming Melb CBD with amazing view,95630437,Ratsamee,,Melbourne,-37.80812277,144.9608607,Private room,90,3,18,0.79,1,335
16888925,Comfortable Inner Melbourne 1BR flat w/ parking,61736363,Susan,,Stonnington,-37.86055363,145.0263947,Entire home/apt,90,3,29,1.38,1,179
17531724,Best location stunning One-bedroom apt,24558280,Luis,,Port Phillip,-37.85319066,144.9800575,Entire home/apt,90,3,2,1,1,112
18623514,Entire Apartment,5123040,Alfredo,,Melbourne,-37.84609336,144.980289,Entire home/apt,90,3,6,0.39,1,0
18843943,The Napier Home,131249811,Laura,,Yarra,-37.80839821,144.9808216,Private room,90,3,0,,1,0
19366709,"Biggest, Brightest luxury 1BR is Bargain",17017364,Annie,,Stonnington,-37.84815073,144.9910809,Entire home/apt,90,3,3,0.17,1,0
19628437,Stunning room in art deco apt in desirable area,362833,Ronnie,,Stonnington,-37.8328705,144.9899009,Private room,90,3,2,0.13,1,22
19681367,Stylish and quiet 1BR close to transport and shops,138615459,Rebecca,,Boroondara,-37.82739622,145.0276719,Entire home/apt,90,3,10,0.6,1,0
20579913,Cozy Apartment in the heart of Fitzroy,22029807,Bryan,,Yarra,-37.80167818,144.9790962,Entire home/apt,90,3,2,0.13,1,0
20840383,Sandiville,149192380,David,,Bayside,-37.94805914,145.0050814,Entire home/apt,90,3,8,0.55,1,0
